year,Title,Items,Text,html,href
2024,60. Esposizione Internazionale d’Arte: Stranieri Ovunque,Direttore Artistico del Settore Arti Visive,Adriano Pedrosa,Adriano Pedrosa,https://asac.labiennale.org/persone/531754
2022,59. Esposizione Internazionale d’Arte: Il latte dei sogni,Direttore Artistico del Settore Arti Visive,Cecilia Alemani,Cecilia Alemani,https://asac.labiennale.org/persone/472350
2019,58. Esposizione Internazionale d’Arte : May You Live In Interesting Times,Direttore Artistico del Settore Arti Visive,Ralph Rugoff,Ralph Rugoff,https://asac.labiennale.org/persone/500258
2017,57. Esposizione Internazionale d'Arte : Viva arte viva,Direttore Artistico del Settore Arti Visive,Christine Macel,Christine Macel,https://asac.labiennale.org/persone/372777
2015,56. Esposizione Internazionale d’Arte : All the World’s Futures,Direttore Artistico del Settore Arti Visive,Okwui Enwezor,Okwui Enwezor,https://asac.labiennale.org/persone/391007
2013,55. Esposizione Internazionale d'Arte : Il Palazzo Enciclopedico,Direttore Artistico del Settore Arti Visive,Massimiliano Gioni,Massimiliano Gioni,https://asac.labiennale.org/persone/381831
2011,54. Esposizione Internazionale d'Arte : ILLUMInazioni,Direttore Artistico del Settore Arti Visive,Bice Curiger,Bice Curiger,https://asac.labiennale.org/persone/414388
2007,"52. Esposizione Internazionale d'Arte : Pensa con i sensi, senti con la mente: l'arte al presente",Direttore Artistico del Settore Arti Visive,Robert Storr,Robert Storr,https://asac.labiennale.org/persone/372160
2005,51. Esposizione Internazionale d'Arte - L'esperienza dell'arte | Sempre un po' più lontano,Direttore Artistico del Settore Arti Visive,Rosa Martinez,Rosa Martinez,https://asac.labiennale.org/persone/365932
2005,51. Esposizione Internazionale d'Arte - L'esperienza dell'arte | Sempre un po' più lontano,Direttore Artistico del Settore Arti Visive,Maria de Corral,Maria de Corral,https://asac.labiennale.org/persone/368333
2003,50. Esposizione Internazionale d'Arte : Sogni e Conflitti - La dittatura dello spettatore,Direttore Artistico del Settore Arti Visive,Francesco Bonami,Francesco Bonami,https://asac.labiennale.org/persone/368323
2001,49. Esposizione Internazionale d'Arte : Platea dell'Umanità - Plateau of Humankind - Plateau der Menschheit - Plateau de L'Humanité,Direttore Artistico del Settore Arti Visive,Harald Szeemann,Harald Szeemann,https://asac.labiennale.org/persone/368324
1999,48. Esposizione Internazionale d'Arte : dAPERTutto/APERTO overALL/Aperto parTOUT/Aperto uber all,Direttore Artistico del Settore Arti Visive,Harald Szeemann,Harald Szeemann,https://asac.labiennale.org/persone/368324
1997,47. Esposizione Internazionale d'Arte,Curatore,Germano Celant,Germano Celant,https://asac.labiennale.org/persone/311690
1995,46. Esposizione Internazionale d'Arte,Direttore del Settore Arti Visive,Jean Clair,Jean Clair,https://asac.labiennale.org/persone/368335
1993,45. Esposizione Internazionale d'Arte : punti cardinali dell'arte,Curatore,Achille Bonito Oliva,Achille  Bonito Oliva,https://asac.labiennale.org/persone/365933
1990,44. Esposizione Internazionale d'Arte : Dimensione Futuro - L'artista e lo Spazio,Direttore del Settore Arti Visive,Giovanni Carandente,Giovanni Carandente,https://asac.labiennale.org/persone/368330
1988,43. Esposizione Internazionale d'Arte : il luogo degli artisti,Direttore del Settore Arti Visive,Giovanni Carandente,Giovanni Carandente,https://asac.labiennale.org/persone/368330
1986,42. Esposizione Internazionale d'Arte : arte e scienza,Direttore del Settore Arti Visive,Maurizio Calvesi,Maurizio Calvesi,https://asac.labiennale.org/persone/368321
1984,"41. Esposizione Internazionale d'Arte: Arte e Arti, Attualità e Storia",Direttore del Settore Arti Visive,Maurizio Calvesi,Maurizio Calvesi,https://asac.labiennale.org/persone/368321
1982,40. Esposizione Internazionale d'Arte: arti visive '82,Direttore del Settore Arti Visive,Sisto Dalla Palma,Sisto Dalla Palma,https://asac.labiennale.org/persone/366311
1980,39. Biennale arti visive 1980,Direttore del Settore Arti Visive,Luigi Carluccio,Luigi Carluccio,https://asac.labiennale.org/persone/368322
1976,"La Biennale di Venezia 1976 : Ambiente, partecipazione, strutture culturali",Direttore del Settore Arti Visive,Vittorio Gregotti,Vittorio Gregotti,https://asac.labiennale.org/persone/368319
1975,La Biennale un laboratorio internazionale : Settore Arti Visive e Architettura - Proposte per il Mulino Stucky,Curatore,Harald Szeemann,Harald Szeemann,https://asac.labiennale.org/persone/368324
1974,La Biennale per una cultura democratica e antifascista : Settore Arti Visive e Architettura - Cinema Città Avanguardia 1919-1939,Curatore,Francesco Dal Co,Francesco Dal Co,https://asac.labiennale.org/persone/367796