id,name,first_name,last_name,birth_year,birth_location,death_year,death_location,nationality,gender,sector,media,profile_link,ranking
319451,Abel Rodriguez,Abel,Rodriguez,1943.0,,,,Colombia,m,Post-War,,https://artfacts.net/artist/abel-rodriguez/319451,"Top 10,000"
27218,Miguel Ángel Rojas,Miguel Ángel,Rojas,1946.0,Bogotá (CO),,,Colombia,m,Contemporary,Installation Art,https://artfacts.net/artist/miguel-angel-rojas/27218,"Top 10,000"
326278,Rosa Rolanda,Rosa,Rolanda,1895.0,,1970.0,,United States,f,Modern,,https://artfacts.net/artist/rosa-rolanda/326278,"Top 10,000"
649768,Gillian Rosselli,Gillian,Rosselli,1962.0,,,,Zimbabwe,f,Contemporary,,https://artfacts.net/artist/gillian-rosselli/649768,"Top 10,000"
113298,Carole Roussopoulos,Carole,Roussopoulos,1945.0,Lausanne (CH),2009.0,,France,f,Post-War,,https://artfacts.net/artist/carole-roussopoulos/113298,"Top 10,000"
39323,Jamini Roy,Jamini,Roy,1887.0,"Baliatore, Bardhaman, WB (IN)",1972.0,"Kolkata, WB (IN)",India,m,Modern,Painting,https://artfacts.net/artist/jamini-roy/39323,"Top 10,000"
45810,Marija Terese Rozanskaite,Marija Terese,Rozanskaite,1933.0,,2007.0,,Lithuania,f,Post-War,,https://artfacts.net/artist/marija-terese-rozanskaite/45810,"Top 10,000"
148819,Rómulo Rozo,Rómulo,Rozo,1899.0,,1964.0,,Colombia,m,Modern,,https://artfacts.net/artist/romulo-rozo/148819,"Top 10,000"
509977,Erica Rutherford,Erica,Rutherford,1923.0,Edinburgh,2008.0,Charlottetown (CA),United Kingdom,"['f', 'x']",Post-War,,https://artfacts.net/artist/erica-rutherford/509977,"Top 10,000"
32967,José Sabogal,José,Sabogal,1888.0,,1956.0,,Peru,m,Modern,Painting,https://artfacts.net/artist/jose-sabogal/32967,"Top 10,000"
355697,Mahmoud Sabri,Mahmoud,Sabri,1927.0,,2012.0,,Iraq,m,Post-War,Painting,https://artfacts.net/artist/mahmoud-sabri/355697,"Top 100,000"
194342,Sadequain,,Sadequain,1930.0,,1987.0,Karachi (PK),Pakistan,m,Post-War,"Painting, Calligraphy",https://artfacts.net/artist/sadequain/194342,"Top 10,000"
1002082,Roberto Saglietto,Roberto,Saglietto,,,,,,m,,,https://artfacts.net/artist/roberto-saglietto/1002082,"Top 100,000"
436490,Fotis Sagonas,Fotis,Sagonas,,,,,[],m,,,https://artfacts.net/artist/fotis-sagonas/436490,"Top 100,000"
194357,Nena Saguil,Nena,Saguil,1926.0,Manila (PH),,,Philippines,f,Post-War,,https://artfacts.net/artist/nena-saguil/194357,"Top 100,000"
293104,Mahmoud Said,Mahmoud,Said,1897.0,,1964.0,,Egypt,m,Modern,Painting,https://artfacts.net/artist/mahmoud-said/293104,"Top 10,000"
142530,Kazuya Sakai,Kazuya,Sakai,1927.0,Buenos Aires (AR),2001.0,"Dallas, TX (US)",Argentina,m,Post-War,Painting,https://artfacts.net/artist/kazuya-sakai/142530,"Top 10,000"
83006,Ione Saldanha,Ione,Saldanha,1919.0,"Alegrete, RS (BR)",2001.0,"Rio de Janeiro, RJ (BR)",Brazil,f,Post-War,,https://artfacts.net/artist/ione-saldanha/83006,"Top 10,000"
606712,Aly Ben Salem,Aly Ben,Salem,1910.0,,2001.0,,Tunisia,m,Modern,,https://artfacts.net/artist/aly-ben-salem/606712,"Top 10,000"
129209,Jawad Salim,Jawad,Salim,1919.0,Ankara (TR),1961.0,Baghdad (IQ),Iraq,m,Post-War,,https://artfacts.net/artist/jawad-salim/129209,"Top 10,000"
680254,Tita Salina,Tita,Salina,,,,,,f,,,https://artfacts.net/artist/tita-salina/680254,"Top 10,000"
195929,Mark Salvatus,Mark,Salvatus,1980.0,,,,Philippines,m,Ultra-Contemporary,,https://artfacts.net/artist/mark-salvatus/195929,"Top 10,000"
14360,Dean Sameshima,Dean,Sameshima,1971.0,Los Angeles (US),,,United States,m,Contemporary,"Works on Paper, Digital photography",https://artfacts.net/artist/dean-sameshima/14360,"Top 10,000"
677365,Barbara Sanchez-Kane,Barbara,Sanchez-Kane,1987.0,Mérida (MX),,,Mexico,f,Ultra-Contemporary,"Painting, Installation Art, Performance/Happening, Fashion Design",https://artfacts.net/artist/barbara-sanchez-kane/677365,"Top 10,000"
64559,Fanny Sanin,Fanny,Sanin,1938.0,Bogotá (CO),,,Colombia,f,Post-War,Painting,https://artfacts.net/artist/fanny-sanin/64559,"Top 10,000"
11581,Aligi Sassu,Aligi,Sassu,1912.0,Milano (IT),2000.0,Majorca (ES),Italy,m,Post-War,"Painting, Sculpture",https://artfacts.net/artist/aligi-sassu/11581,"Top 10,000"
279444,Vidha Saumya,Vidha,Saumya,1884.0,Patna,,,India,f,Modern,Embroidery,https://artfacts.net/artist/vidha-saumya/279444,"Top 10,000"
97809,Serban Savu,Serban,Savu,1978.0,Sighişoara (RO),,,Romania,m,Ultra-Contemporary,Painting,https://artfacts.net/artist/serban-savu/97809,"Top 10,000"
950962,Güliz Sağlam,Güliz,Sağlam,,,,,,f,,,https://artfacts.net/artist/gueliz-saglam/950962,"Top 10,000"
170896,Vladislav Scepanovic,Vladislav,Scepanovic,1971.0,,,,,m,Contemporary,,https://artfacts.net/artist/vladislav-scepanovic/170896,"Top 10,000"
343334,Greta Schodl,Greta,Schodl,1929.0,Hollabrunn,,,Austria,f,Post-War,,https://artfacts.net/artist/greta-schodl/343334,"Top 10,000"
165177,Marco Scotini,Marco,Scotini,,,,,,m,,,https://artfacts.net/artist/marco-scotini/165177,"Top 10,000"
701400,Ana Segovia,Ana,Segovia,,,,,Mexico,f,,,https://artfacts.net/artist/ana-segovia/701400,"Top 10,000"
98543,Gerard Sekoto,Gerard,Sekoto,1913.0,"Middelburg, EC (ZA)",1993.0,Paris (FR),South Africa,m,Post-War,Painting,https://artfacts.net/artist/gerard-sekoto/98543,"Top 10,000"
409196,Lorna Selim,Lorna,Selim,1928.0,Sheffield (UK),,,United Kingdom,f,Post-War,,https://artfacts.net/artist/lorna-selim/409196,"Top 10,000"
928403,Joshua Serafin,Joshua,Serafin,1995.0,,,,,m,Ultra-Contemporary,,https://artfacts.net/artist/joshua-serafin/928403,"Top 10,000"
928773,Camilo Mori Serrano,Camilo Mori,Serrano,,,,,,m,,,https://artfacts.net/artist/camilo-mori-serrano/928773,"Top 10,000"
11869,Gino Severini,Gino,Severini,1883.0,"Cortona, Arezzo (IT)",1966.0,Paris (FR),Italy,m,Modern,Painting,https://artfacts.net/artist/gino-severini/11869,"Top 10,000"
20714,Tejal Shah,Tejal,Shah,1979.0,"Bhilai, Chattisgrah (IN)",,,India,f,Ultra-Contemporary,"Photography, Time-Based Media, Installation Art",https://artfacts.net/artist/tejal-shah/20714,"Top 10,000"
21794,Wael Shawky,Wael,Shawky,1971.0,Alexandria (EG),,,Egypt,m,Contemporary,"Photography, Time-Based Media, Installation Art, Performance/Happening",https://artfacts.net/artist/wael-shawky/21794,"Top 1,000"
239558,Anwar Shemza,Anwar,Shemza,1928.0,,1985.0,,Pakistan,m,Post-War,Painting,https://artfacts.net/artist/anwar-shemza/239558,"Top 10,000"
63953,Amrita Sher-Gil,Amrita,Sher-Gil,1913.0,Budapest (IN/*HU),1941.0,Lahore (IN),India,f,Post-War,Painting,https://artfacts.net/artist/amrita-sher-gil/63953,"Top 10,000"
2105,Yinka Shonibare,Yinka,Shonibare,1962.0,"London, England (UK)",,,United Kingdom,m,Contemporary,"Painting, Photography, Sculpture",https://artfacts.net/artist/yinka-shonibare/2105,"Top 1,000"
1002069,Doreen Sibanda,Doreen,Sibanda,,,,,,f,,,https://artfacts.net/artist/doreen-sibanda/1002069,"Top 100,000"
168667,Fadjar Sidik,Fadjar,Sidik,1930.0,,2004.0,,,,Post-War,,https://artfacts.net/artist/fadjar-sidik/168667,"Top 10,000"
570937,Sim Chi Yin,,Sim Chi Yin,1978.0,,,,Singapore,f,Ultra-Contemporary,,https://artfacts.net/artist/sim-chi-yin/570937,"Top 10,000"
263073,Gazbia Sirry,Gazbia,Sirry,1925.0,Cairo (EG),,,Egypt,f,Post-War,Painting,https://artfacts.net/artist/gazbia-sirry/263073,"Top 10,000"
97647,Lucas Sithole,Lucas,Sithole,1931.0,KwaThema (ZA),1994.0,,South Africa,m,Post-War,Sculpture,https://artfacts.net/artist/lucas-sithole/97647,"Top 10,000"
641108,Stjepan Skoko,Stjepan,Skoko,1959.0,Grab,,,Bosnia and Herzegovina,m,Contemporary,Sculpture,https://artfacts.net/artist/stjepan-skoko/641108,"Top 100,000"
321600,Himali Singh Soin,Himali Singh,Soin,1987.0,Delhi,,,India,,Ultra-Contemporary,,https://artfacts.net/artist/himali-singh-soin/321600,"Top 10,000"
420579,F.N. Souza,F.N.,Souza,1924.0,Goa (IN),2002.0,,India,m,Post-War,"Painting, Drawings",https://artfacts.net/artist/f-n-souza/420579,"Top 10,000"
91510,Nika Span,Nika,Span,1976.0,Ljubljana (SI),,,Slovenia,f,Ultra-Contemporary,,https://artfacts.net/artist/nika-span/91510,"Top 10,000"
1002084,Speculoos,,Speculoos,2000.0,,,,Belgium,g,Ultra-Contemporary,,https://artfacts.net/artist/speculoos/1002084,"Top 100,000"
11704,Joseph Stella,Joseph,Stella,1877.0,"Muro Lucano, PZ (IT)",1946.0,"New York City, NY (US)",United States,m,Modern,Painting,https://artfacts.net/artist/joseph-stella/11704,"Top 10,000"
114658,Irma Stern,Irma,Stern,1894.0,"Schweizer-Reneke, NW (ZA)",1966.0,"Kaapstad (Cape Town), WC (ZA)",South Africa,f,Modern,Painting,https://artfacts.net/artist/irma-stern/114658,"Top 10,000"
29610,Hito Steyerl,Hito,Steyerl,1966.0,Munich (DE),,,Germany,f,Contemporary,Film,https://artfacts.net/artist/hito-steyerl/29610,Top 100
606545,Inuuteq Storch,Inuuteq,Storch,1989.0,,,,Greenland,m,Ultra-Contemporary,Photography,https://artfacts.net/artist/inuuteq-storch/606545,"Top 10,000"
557462,Leopold Strobl,Leopold,Strobl,1960.0,,,,Austria,m,Contemporary,,https://artfacts.net/artist/leopold-strobl/557462,"Top 10,000"
794917,Emiria Sunassa,Emiria,Sunassa,,,,,,,,,https://artfacts.net/artist/emiria-sunassa/794917,"Top 10,000"
820891,Cédrick Sungo,Cédrick,Sungo,1992.0,,,,Democratic Republic of the Congo,m,Ultra-Contemporary,,https://artfacts.net/artist/cedrick-sungo/820891,"Top 100,000"
34952,Superflex,,Superflex,1993.0,Kopenhagen (DK),,,['Denmark'],g,Ultra-Contemporary,"Sculpture, Film, Installation Art, Conceptual Art",https://artfacts.net/artist/superflex/34952,"Top 1,000"
734119,Sweatmother,,Sweatmother,,,,,,,,,https://artfacts.net/artist/sweatmother/734119,"Top 100,000"
43050,Zilia Sánchez,Zilia,Sánchez,1928.0,,,,Cuba,f,Post-War,,https://artfacts.net/artist/zilia-sanchez/43050,"Top 10,000"
250447,Claire Tabouret,Claire,Tabouret,1981.0,,,,France,f,Ultra-Contemporary,"Painting, Works on Paper, Sculpture",https://artfacts.net/artist/claire-tabouret/250447,"Top 10,000"
421176,Moffat Takadiwa,Moffat,Takadiwa,1983.0,,,,['Zimbabwe'],m,Ultra-Contemporary,Sculpture,https://artfacts.net/artist/moffat-takadiwa/421176,"Top 10,000"
1002144,Alvers Tamasala,Alvers,Tamasala,,,,,,,,,https://artfacts.net/artist/alvers-tamasala/1002144,"Top 100,000"
1002072,Armodio Tamayo,Armodio,Tamayo,,,,,,,,,https://artfacts.net/artist/armodio-tamayo/1002072,"Top 100,000"
222264,Maria Taniguchi,Maria,Taniguchi,1981.0,,,,['Philippines'],f,Ultra-Contemporary,"Time Based Media, Sculpture, Painting, Object, Architecture, Drawings, Installation Art, Works on Paper",https://artfacts.net/artist/maria-taniguchi/222264,"Top 10,000"
592059,Evelyn Taocheng Wang,Evelyn,Taocheng Wang,1981.0,Chengdu (CN),,,China,f,Ultra-Contemporary,"Painting, Works on Paper, Video, Installation Art, Performance/Happening, Calligraphy, Fashion Design, Ink Painting",https://artfacts.net/artist/evelyn-taocheng-wang/592059,"Top 10,000"
816056,David Soin Tappeser,David Soin,Tappeser,1985.0,Bonn,,,Germany,m,Ultra-Contemporary,,https://artfacts.net/artist/david-soin-tappeser/816056,"Top 10,000"
599226,Joel Patrick Tatcheda Yonkeu,Joel Patrick,Tatcheda Yonkeu,1985.0,,,,Cameroon,m,Ultra-Contemporary,,https://artfacts.net/artist/joel-patrick-tatcheda-yonkeu/599226,"Top 10,000"
387273,Jason deCaires Taylor,Jason deCaires,Taylor,1974.0,,,,United Kingdom,m,Contemporary,,https://artfacts.net/artist/jason-decaires-taylor/387273,"Top 10,000"
60341,Lucy Tejada,Lucy,Tejada,1920.0,,2011.0,,Colombia,f,Post-War,,https://artfacts.net/artist/lucy-tejada/60341,"Top 10,000"
285858,Mariana Telleria,Mariana,Telleria,1979.0,,,,Argentina,f,Ultra-Contemporary,,https://artfacts.net/artist/mariana-telleria/285858,"Top 10,000"
1002088,Ernst Wilhelm Tempel,Ernst Wilhelm,Tempel,1821.0,"Niedercunnersdorf, Kottmar",1889.0,"Arcetri, Italy",Germany,m,Impressionists and Post-Impressionistis,Scientist,https://artfacts.net/artist/ernst-wilhelm-tempel/1002088,"Top 100,000"
413974,Giorgio Tentolini,Giorgio,Tentolini,1978.0,,,,Italy,m,Ultra-Contemporary,Photography,https://artfacts.net/artist/giorgio-tentolini/413974,"Top 10,000"
231339,Günes Terkol,Günes,Terkol,1981.0,Ankara (TR),,,Turkey,f,Ultra-Contemporary,Textile Art/Fiber Art,https://artfacts.net/artist/guenes-terkol/231339,"Top 10,000"
125965,Eduardo Terrazas,Eduardo,Terrazas,1936.0,,,,Mexico,m,Post-War,"Works on Paper, Installation Art",https://artfacts.net/artist/eduardo-terrazas/125965,"Top 10,000"
19839,Clorindo Testa,Clorindo,Testa,1923.0,Napoli (IT),2013.0,Buenos Aires (AR),"['Italy', 'Argentina']",m,Post-War,"Painting, Architecture",https://artfacts.net/artist/clorindo-testa/19839,"Top 10,000"
1002099,The2vvo,,The2vvo,,,,,,,,,https://artfacts.net/artist/the2vvo/1002099,"Top 100,000"
324853,Yerbolat Tolepbay,Yerbolat,Tolepbay,1955.0,Lenger,,,Kazakhstan,m,Contemporary,,https://artfacts.net/artist/yerbolat-tolepbay/324853,"Top 100,000"
251068,Salman Toor,Salman,Toor,1983.0,Lahore (PK),,,Pakistan,m,Ultra-Contemporary,Painting,https://artfacts.net/artist/salman-toor/251068,"Top 10,000"
916282,Lilia Topouzova,Lilia,Topouzova,,,,,,f,,"Film, Film Director",https://artfacts.net/artist/lilia-topouzova/916282,"Top 10,000"
624573,Frieda Toranzo Jaeger,Frieda,Toranzo Jaeger,1988.0,,,,Mexico,f,Ultra-Contemporary,"Painting, Sculpture, Mixed Media",https://artfacts.net/artist/frieda-toranzo-jaeger/624573,"Top 10,000"
82873,Horacio Torres,Horacio,Torres,1924.0,,1976.0,,Uruguay,m,Post-War,Painting,https://artfacts.net/artist/horacio-torres/82873,"Top 10,000"
39840,Joaquín Torres-García,Joaquín,Torres-García,1874.0,Montevideo (UY),1949.0,Montevideo (UY),Uruguay,m,Impressionists and Post-Impressionistis,"Painting, Works on Paper",https://artfacts.net/artist/joaquin-torres-garcia/39840,"Top 10,000"
711095,Bouba Toure,Bouba,Toure,,,,,,,,,https://artfacts.net/artist/bouba-toure/711095,"Top 10,000"
13660,Mario Tozzi,Mario,Tozzi,1895.0,"Fossombrone, PS (IT)",1979.0,"Saint-Jean-du-Gard, LR (FR)",Italy,m,Modern,Painting,https://artfacts.net/artist/mario-tozzi/13660,"Top 10,000"
72679,Freddy Tsimba,Freddy,Tsimba,1967.0,Kinshasa (CD),,,Democratic Republic of the Congo,m,Contemporary,,https://artfacts.net/artist/freddy-tsimba/72679,"Top 10,000"
8749,Fatimah Tuggar,Fatimah,Tuggar,1967.0,Kaduna (NG),,,Nigeria,f,Contemporary,Photography,https://artfacts.net/artist/fatimah-tuggar/8749,"Top 10,000"
1002102,Suelin Low Chew Tung,Suelin Low Chew,Tung,,,,,Grenada,f,,,https://artfacts.net/artist/suelin-low-chew-tung/1002102,"Top 100,000"
93201,Twins Seven Seven,,Twins Seven Seven,1944.0,Ogidi Ikimu (NG),2011.0,,Nigeria,m,Post-War,"Painting, Sculpture",https://artfacts.net/artist/twins-seven-seven/93201,"Top 10,000"
598007,Ahmed Umar,Ahmed,Umar,1988.0,,,,Sudan,m,Ultra-Contemporary,,https://artfacts.net/artist/ahmed-umar/598007,"Top 10,000"
483160,Tesfaye Urgessa,Tesfaye,Urgessa,1983.0,Addis Ababa (ET),,,Ethiopia,m,Ultra-Contemporary,Painting,https://artfacts.net/artist/tesfaye-urgessa/483160,"Top 10,000"
281556,Lorgio Vaca,Lorgio,Vaca,1930.0,Santa Cruz (BO),,,Bolivia,m,Post-War,Painting,https://artfacts.net/artist/lorgio-vaca/281556,"Top 100,000"
1002094,Jafar Vahedi,Jafar,Vahedi,,,,,,m,,,https://artfacts.net/artist/jafar-vahedi/1002094,"Top 100,000"
1002058,María Aranís Valdivia,María Aranís,Valdivia,,,,,,,,,https://artfacts.net/artist/maria-aranis-valdivia/1002058,"Top 100,000"
49903,Rubem Valentim,Rubem,Valentim,1922.0,"Salvador, BA (BR)",1991.0,"São Paulo, SP (BR)",Brazil,m,Post-War,"Painting, Sculpture",https://artfacts.net/artist/rubem-valentim/49903,"Top 10,000"
572291,Anton Varga,Anton,Varga,1989.0,Uzhorod,,,Ukraine,m,Ultra-Contemporary,,https://artfacts.net/artist/anton-varga/572291,"Top 10,000"
47940,Humberto Velez,Humberto,Velez,1965.0,City of Panamá (PA),,,Panama,m,Contemporary,,https://artfacts.net/artist/humberto-velez/47940,"Top 10,000"
1002063,Celia Leyton Vidal,Celia Leyton,Vidal,,,,,,f,,,https://artfacts.net/artist/celia-leyton-vidal/1002063,"Top 100,000"
1002073,Edoardo Daniele Villa,Edoardo Daniele,Villa,,,,,,m,,,https://artfacts.net/artist/edoardo-daniele-villa/1002073,"Top 100,000"
52667,Eliseu Visconti,Eliseu,Visconti,1866.0,"Giffoni Valle Piana, SA (IT)",1944.0,"Rio de Janeiro, RJ (BR)",Brazil,m,Impressionists and Post-Impressionistis,Painting,https://artfacts.net/artist/eliseu-visconti/52667,"Top 10,000"
1002100,Rex and Edna Volcan,Rex and Edna,Volcan,,,,,[],m,,,https://artfacts.net/artist/rex-and-edna-volcan/1002100,"Top 100,000"
33158,Alfredo Volpi,Alfredo,Volpi,1896.0,Lucca (IT),1988.0,São Paulo (BR),Brazil,m,Modern,Painting,https://artfacts.net/artist/alfredo-volpi/33158,"Top 10,000"
19465,Kay WalkingStick,Kay,WalkingStick,1935.0,"Syracuse, NY (US)",,,United States,f,Post-War,Painting,https://artfacts.net/artist/kay-walkingstick/19465,"Top 10,000"
811127,Jenni-Juulia Wallinheimo-Heimonen,Jenni-Juulia,Wallinheimo-Heimonen,1974.0,,,,Finland,f,Contemporary,,https://artfacts.net/artist/jenni-juulia-wallinheimo-heimonen/811127,"Top 10,000"
456893,Eimear Walshe,Eimear,Walshe,,Longford,,,Ireland (Republic),n,,,https://artfacts.net/artist/eimear-walshe/456893,"Top 10,000"
712746,Wang Shaoqiang,,Wang Shaoqiang,1969.0,"Shantou, Guangdong",,,China,,Contemporary,,https://artfacts.net/artist/wang-shaoqiang/712746,"Top 10,000"
263023,Wang Zhenghong,,Wang Zhenghong,,,,,,,,,https://artfacts.net/artist/wang-zhenghong/263023,"Top 10,000"
730996,WangShui,,WangShui,1986.0,,,,United States,n,Ultra-Contemporary,"Painting, Time-Based Media, Installation Art, Architecture",https://artfacts.net/artist/wangshui/730996,"Top 10,000"
938142,Gustavo Caboco Wapichana,Gustavo Caboco,Wapichana,,,,,,m,,,https://artfacts.net/artist/gustavo-caboco-wapichana/938142,"Top 10,000"
677184,Agnes Waruguru Njoroge,Agnes,Waruguru Njoroge,1994.0,,,,Kenya,f,Ultra-Contemporary,,https://artfacts.net/artist/agnes-waruguru-njoroge/677184,"Top 10,000"
73530,Osmond Watson,Osmond,Watson,,,,,,,,,https://artfacts.net/artist/osmond-watson/73530,"Top 100,000"
112039,Barrington Watson,Barrington,Watson,1931.0,,,,Jamaica,m,Post-War,Painting,https://artfacts.net/artist/barrington-watson/112039,"Top 10,000"
10662,Susanne Wenger,Susanne,Wenger,1915.0,Graz (AT),2009.0,"Oshogbo, Osun (NG)","['Austria', 'Nigeria']",f,Post-War,"Painting, Sculpture",https://artfacts.net/artist/susanne-wenger/10662,"Top 10,000"
372314,James Wentzy,James,Wentzy,,,,,,m,,,https://artfacts.net/artist/james-wentzy/372314,"Top 10,000"
37069,Emmi Whitehorse,Emmi,Whitehorse,1957.0,"Crownpoint, NM (US)",,,United States,f,Contemporary,,https://artfacts.net/artist/emmi-whitehorse/37069,"Top 10,000"
188347,Selwyn Wilson,Selwyn,Wilson,,,,,,m,,,https://artfacts.net/artist/selwyn-wilson/188347,"Top 100,000"
1002074,Chang Woosoung,Chang,Woosoung,,,,,,,,,https://artfacts.net/artist/chang-woosoung/1002074,"Top 100,000"
441267,Celeste Woss y Gil,Celeste,Woss y Gil,1890.0,,1985.0,,Dominican Republic,f,Modern,,https://artfacts.net/artist/celeste-woss-y-gil/441267,"Top 10,000"
72645,Guy Woueté,Guy,Woueté,1980.0,Douala (CM),,,Cameroon,m,Ultra-Contemporary,,https://artfacts.net/artist/guy-wouete/72645,"Top 10,000"
610218,Xiyadie,,Xiyadie,1963.0,,,,China,m,Contemporary,Works on Paper,https://artfacts.net/artist/xiyadie/610218,"Top 10,000"
881332,Rember Yahuarcani,Rember,Yahuarcani,1985.0,Uitoto Nation,,,South Africa,,Ultra-Contemporary,,https://artfacts.net/artist/rember-yahuarcani/881332,"Top 10,000"
703811,Santiago Yahuarcani,Santiago,Yahuarcani,1960.0,,,,,m,Contemporary,,https://artfacts.net/artist/santiago-yahuarcani/703811,"Top 10,000"
169668,Nil Yalter,Nil,Yalter,1938.0,Cairo (EG),,,Egypt,f,Post-War,Time-Based Media,https://artfacts.net/artist/nil-yalter/169668,"Top 1,000"
1002076,André Taniki Yanomami,André Taniki,Yanomami,,,,,,m,,,https://artfacts.net/artist/andre-taniki-yanomami/1002076,"Top 100,000"
34906,Joseca Yanomami,Joseca,Yanomami,1971.0,"Uxi u, Catrimani, Amazonie (BR)",,,Brazil,,Contemporary,,https://artfacts.net/artist/joseca-yanomami/34906,"Top 10,000"
1002097,Liu Youju,Liu,Youju,,,,,[],,Contemporary,,https://artfacts.net/artist/liu-youju/1002097,"Top 10,000"
136098,Ramses Younan,Ramses,Younan,1913.0,,1966.0,,Egypt,,Post-War,,https://artfacts.net/artist/ramses-younan/136098,"Top 10,000"
670577,Yêdamaria,,Yêdamaria,1932.0,Salvador,2016.0,,Brazil,f,Post-War,,https://artfacts.net/artist/yedamaria/670577,"Top 10,000"
55394,Fahrelnissa Zeid,Fahrelnissa,Zeid,1901.0,Istanbul (TR),1991.0,Amman (JO),Turkey,f,Modern,"Painting, Works on Paper, Stained glass",https://artfacts.net/artist/fahrelnissa-zeid/55394,"Top 10,000"
1002125,Ana Simona Zelenović,Ana Simona,Zelenović,,,,,,f,,,https://artfacts.net/artist/ana-simona-zelenovic/1002125,"Top 100,000"
615066,Juliette Zelime,Juliette,Zelime,,,,,Seychelles,f,,,https://artfacts.net/artist/juliette-zelime/615066,"Top 10,000"
55056,Anna Zemankova,Anna,Zemankova,1908.0,,1986.0,,Czech Republic,f,Modern,"Works on Paper, Drawings",https://artfacts.net/artist/anna-zemankova/55056,"Top 10,000"
233130,Zhao Renhui,,Zhao Renhui,1983.0,(SG),,,Singapore,m,Ultra-Contemporary,Photography,https://artfacts.net/artist/zhao-renhui/233130,"Top 10,000"
5640,Zhu Jinshi,,Zhu Jinshi,1954.0,Beijing (CN),,,China,m,Contemporary,"Painting, Installation Art",https://artfacts.net/artist/zhu-jinshi/5640,"Top 10,000"
515757,Amanda Ziemele,Amanda,Ziemele,1990.0,,,,Latvia,f,Ultra-Contemporary,,https://artfacts.net/artist/amanda-ziemele/515757,"Top 10,000"
62021,Zelimir Zilnik,Zelimir,Zilnik,1942.0,Nis (CS),,,"['Montenegro', 'Serbia']",,Post-War,,https://artfacts.net/artist/zelimir-zilnik/62021,"Top 10,000"
175988,Bibi Zoghbi,Bibi,Zoghbi,1890.0,,1975.0,,,f,Modern,,https://artfacts.net/artist/bibi-zoghbi/175988,"Top 10,000"
71375,Djanira da Mota e Silva,Djanira,da Mota e Silva,1914.0,"Avaré, SP (BR)",1979.0,"Rio de Janeiro, RJ (BR)",Brazil,f,Post-War,Painting,https://artfacts.net/artist/djanira-da-mota-e-silva/71375,"Top 10,000"
1002059,Sàngódáre Gbádégesin Àjàlá,Sàngódáre Gbádégesin,Àjàlá,1948.0,,2021.0,,Niger,,Contemporary,,https://artfacts.net/artist/sangodare-gbadegesin-ajala/1002059,"Top 100,000"
282048,Pinar Ögrenci,Pinar,Ögrenci,,,,,['Turkey'],f,,,https://artfacts.net/artist/pinar-oegrenci/282048,"Top 10,000"